Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
PORTUGAL,"92,090 sq km","1,793 km",105.65,112.41,"1,224 km",0.17,5.48,347.69,10223150.0,43.0,21.0,1344.0,,11.0,8000.0,2526.0,143500.0,78700.0,323000.0,,82900.0,210.0
PUERTO RICO,"9,104 sq km",501 km,73.17,49.01,0 km,1.29,0.21,106.5,3057311.0,17.0,12.0,,,,0.0,,18420.0,127100.0,,,26862.0,
QATAR,"11,586 sq km",563 km,105.55,61.2,87 km,0.86,1.59,249.64,2532104.0,4.0,2.0,288.0,1.0,,1815100.0,,485000.0,12300.0,273800.0,,7039.0,
ROMANIA,"238,391 sq km",225 km,115.88,132.06,"2,844 km",1.01,5.1,588.45,18326327.0,26.0,19.0,3726.0,2.0,2451.0,74000.0,10628.0,103000.0,49420.0,232600.0,,84185.0,1731.0
RUSSIA,"17,098,242 sq km","37,653 km",550.03,379.95,"22,407 km",0.24,4.75,4078.0,141698923.0,594.0,624.0,179000.0,49.0,80000.0,10850000.0,85494.0,3070000.0,45000.0,6171000.0,13658.0,1283387.0,102000.0
RWANDA,"26,338 sq km",0 km,2.11,3.86,930 km,1.68,10.88,30.14,13400541.0,4.0,3.0,,,,0.0,,,6628.0,,,4700.0,90.0
SAINT BARTHELEMY,25 sq km,,,,0 km,0.11,,,7093.0,1.0,,,,,,,,,,,40.0,
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",394 sq km,60 km,19.0,20.53,0 km,0.11,,31.1,7935.0,2.0,30.0,,,,0.0,,,65.0,,,198.0,
SAINT KITTS AND NEVIS,261 sq km,135 km,408.47,441.19,0 km,0.59,-0.88,1.26,54817.0,2.0,220.0,,,,0.0,50.0,,1743.0,,,383.0,
SAINT LUCIA,616 sq km,158 km,890.72,846.48,0 km,0.27,12.23,2.34,167591.0,2.0,363.0,,,,0.0,,,3113.0,,,1210.0,
SAINT MARTIN,50 sq km,58.9 km,,,16 km,0.31,,561.5,32897.0,1.0,,,,,,,,,,,,
SAINT PIERRE AND MIQUELON,242 sq km,120 km,6.64,95.35,0 km,1.19,,261.3,5195.0,2.0,37.0,,,,0.0,,,650.0,,,117.0,
SAINT VINCENT AND THE GRENADINES,389 sq km,84 km,125.78,415.73,0 km,0.16,1.35,1.43,100804.0,5.0,1.0,,,,0.0,,,1621.0,,,,
SAMOA,"2,831 sq km",403 km,97.77,430.01,0 km,0.65,-7.08,1.21,207501.0,1.0,3.0,,,,0.0,,,2363.0,,,1150.0,
SAN MARINO,61 sq km,0 km,3.83,2.55,37 km,0.59,-6.65,1.92,34892.0,292.0,,,,,,,,,,,292.0,
SAO TOME AND PRINCIPE,964 sq km,209 km,75.26,201.15,0 km,1.45,1.88,904.06,220372.0,2.0,1070.0,,,,0.0,,,1027.0,,,1300.0,
SAUDI ARABIA,"2,149,690 sq km","2,640 km",286.5,213.02,"4,272 km",1.65,3.24,1594.0,35939806.0,82.0,132.0,2940.0,10.0,5117.0,10815700.0,5410.0,1784000.0,609600.0,2944000.0,,221372.0,
SENEGAL,"196,722 sq km",531 km,10.27,5.35,"2,684 km",2.52,3.9,35.73,18384660.0,4.0,12.0,,,,0.0,1086.0,,18460.0,,,44301.0,1300.0
SERBIA,"77,474 sq km",0 km,33.73,39.04,"2,322 km",0.63,7.55,135.53,6693375.0,10.0,16.0,1936.0,2.0,413.0,15200.0,3333.0,15750.0,18720.0,74350.0,,44248.0,587.0
SEYCHELLES,455 sq km,491 km,1.75,1.82,0 km,0.6,7.86,2.85,97617.0,7.0,7.0,,1.0,,0.0,,,7225.0,,,526.0,
SIERRA LEONE,"71,740 sq km",402 km,700.97,1.42,"1,093 km",2.41,4.1,13.6,8908040.0,1.0,7.0,,2.0,,0.0,,,6439.0,,,11701.0,800.0
